,ID,City,Restaurant,Average Cost for two,Aggregate rating,Votes,Cuisine,Address,Price Range
8326,409486,Delhi,Aura Bakers,600.0,2.9,80,"Bakery,Indian,Chinese,Pastas,Snacks","Rohini, Rohini, Delhi",1
8327,409880,Chennai,Thaai Mann,600.0,2.9,80,"Desserts,Fast Food,Sweets","Vadapalani, Vadapalani, Chennai",1
8328,410301,Chennai,Ramas Cafe,500.0,4.6,20,"South Indian,Sweets","Kilpauk, Kilpauk, Chennai",1
8329,410891,Bangalore,Smoky And Snacky,360.0,2.9,80,"Chinese,Fast Food,Indian","Basavanagudi, Basavanagudi, Bangalore",1
8330,411774,Bangalore,Delhi Chaat House,450.0,3.6,20,"Chaat,Indian","Indiranagar, Indiranagar, Bangalore",1
8331,411961,Bangalore,Cream And Fudge,400.0,2.9,80,"Beverages,Desserts","Malleshwaram, Malleshwaram, Bangalore",1
8332,411982,Bangalore,Pure Punjabi Dhaba,400.0,2.9,80,"Indian,North Indian,Snacks","Central Bangalore, Central Bangalore, Bangalore",1
8333,411990,Ahmedabad,Shiv Shakti Fast Food,400.0,2.9,80,"Gujarati,Fast Food","Naranpura,  Akhbar Nagar Circle, Ahmedabad",1
8334,412378,Kolkata,Truffle Square,600.0,2.9,80,Bakery,"South Kolkata, South Kolkata, Kolkata",1
8335,412557,Pune,Ganga Pure Veg,1200.0,2.9,80,Indian,"Narhe, Narhe, Pune",2
8336,412597,Bangalore,Babaji Bites,500.0,2.9,80,"Chinese,Tandoor","Indiranagar, Indiranagar, Bangalore",1
8337,412721,Chennai,S3 Elite Family Dining,500.0,3.5,20,"Chinese,Thalis","T Nagar, T Nagar, Chennai",1
8338,414109,Mumbai,R S Mani Cafe,400.0,4.2,20,"South Indian,Beverages","Kurla, Kurla, Mumbai",1
8339,414486,Ahmedabad,Tgb Bakery,400.0,2.9,80,Bakery,"Isanpur, Isanpur, Ahmedabad",1
8340,414605,Hyderabad,Natural Fruits And Juices,400.0,3.8,20,Juices  Salads,"Uppal, Uppal, Hyderabad",1
8341,414675,Ahmedabad,Mahakal Pakodi Center,400.0,4.1,20,Indian,"Vastrapur, Vastrapur, Ahmedabad",1
8342,414885,Ahmedabad,Creamy Heaven,600.0,2.9,80,"Ice Cream,Beverages","Navrangpura, Navrangpura, Ahmedabad",1
8343,415392,Ahmedabad,Volga,1000.0,2.9,80,"North Indian,Continental,Beverages","Laldarwaja, Laldarwaja, Ahmedabad",2
8344,415543,Mumbai,Afra Falooda Darbar,500.0,2.9,80,Beverages  Desserts,"Marol Sakinaka, Marol Sakinaka, Mumbai",1
8345,415569,Chennai,Keventers Ice Creamery,600.0,4.7,20,"Ice Cream,Desserts","Vr Mall, Mogapair, Chennai",1
8346,415571,Ahmedabad,Keventers Ice Cream,600.0,4.6,20,"Ice Cream,Desserts","Navrangpura, Navrangpura, Ahmedabad",1
8347,415742,Delhi,Dhaam Kitchen,600.0,2.9,80,"Indian,North Indian,Fast Food","Rohini, Rohini, Delhi",1
8348,415809,Hyderabad,Laddu Ji,400.0,2.9,80,Sweets,"Kothapet & Dilsukhnagar, Kothapet & Dilsukhnagar, Hyderabad",1
8349,416010,Ahmedabad,Foodcraft Kitchen,1000.0,2.9,80,"Indian,Chinese,Fast Food,Punjabi","Navrangpura, Navrangpura, Ahmedabad",2
8350,416101,Ahmedabad,Frankie On Fire Raipur,480.0,2.9,80,"Fast Food,Snacks","Laldarwaja, Laldarwaja, Ahmedabad",1
8351,416212,Ahmedabad,Vanilla Sky,600.0,2.9,80,Chinese,"Vastrapur, Vastrapur, Ahmedabad",1
8352,416478,Mumbai,World Of Donuts,400.0,2.9,80,"Desserts,Bakery","Kurla, Kurla, Mumbai",1
8353,416536,Surat,Punjabi Culture,600.0,3.4,100,"Punjabi,North Indian,Thalis,Desserts,Beverages","Adajan, Adajan, Surat",1
8354,416629,Chennai,Krishna Sweet,200.0,3.9,20,Sweets,"Kodambakkam, Kodambakkam, Chennai",1
8355,416896,Surat,Slice And Dice Pizzeria,600.0,4.4,20,"Pizzas,Italian,Beverages,Juices","Adajan, Adajan, Surat",1
8356,417144,Hyderabad,Classic Ice Cream,400.0,2.9,80,"Ice Cream,Desserts","Charminar, Charminar, Hyderabad",1
8357,417158,Kolkata,M Hub,400.0,2.9,80,"Pizzas,Pastas,Fast Food,Beverages","Lake Town, Lake Town, Kolkata",1
8358,417308,Delhi,Amritsari Express,400.0,2.9,80,North Indian,"Rajouri Garden, Rajouri Garden, Delhi",1
8359,417454,Delhi,Calcutta Mithai,400.0,4.2,50,"Chaat,Sweets","Nsp, Sri Nagar, Delhi",1
8360,418077,Ahmedabad,Ashirwad Dining Hall,400.0,2.9,80,"Indian,Chinese","Vastral, Vastral, Ahmedabad",1
8361,418299,Kolkata,Roz Aana Punjab,600.0,2.9,80,Indian,"Alipore, Alipore, Kolkata",1
8362,418326,Pune,Aditri Veg Restaurant,400.0,3.9,20,"Indian,South Indian,Chinese,Juices,Beverages,Tandoor,Maharashtrian","Kothrud, Kothrud, Pune",1
8363,418400,Mumbai,Uk14 Icecream,300.0,2.9,80,Ice Cream  Beverages,"Ghatkopar Vikhroli, Ghatkopar Vikhroli, Mumbai",1
8364,418575,Ahmedabad,Jay Rajeshwari,300.0,2.9,80,"SVANidhi Street Food Vendor,Fast Food,Indian","Navrangpura, Navrangpura, Ahmedabad",1
8365,418926,Kolkata,Crown Cafe,240.0,2.9,80,South Indian  Snacks  Beverages,"Burrabazar, Burrabazar, Kolkata",1
8366,419001,Ahmedabad,Doughfather,600.0,2.9,80,"Pizzas,Bakery","Navrangpura, Navrangpura, Ahmedabad",1
8367,419220,Bangalore,Dna Cuisine-Doctor Nutri Ambrosia,500.0,2.9,80,"Salads,Healthy Food,Beverages","Rajajinagar, Rajajinagar, Bangalore",1
8368,419686,Bangalore,Rr Spicy Bangarpet Chat House,300.0,2.9,80,"Chaat,Fast Food","Majestic, Majestic, Bangalore",1
8369,419772,Hyderabad,Chai Sutta Bar Dilsukhnagar,600.0,2.9,80,"Beverages,Fast Food","Kothapet & Dilsukhnagar, Kothapet & Dilsukhnagar, Hyderabad",1
8370,420467,Pune,Mummyjis,400.0,2.9,80,"Indian,Fast Food","Kothrud, Kothrud, Pune",1
8371,420484,Bangalore,Keventers Ice Cream,600.0,2.9,80,"Ice Cream,Desserts","Garuda Mall, Central Bangalore, Bangalore",1
8372,420750,Chennai,Sudhas Chaat And Sweets,400.0,2.9,80,"Chaat,Combo,North Indian","Annanagar, Annanagar, Chennai",1
8373,420764,Mumbai,Verma Refreshments,200.0,4.2,20,"Fast Food,Snacks,Chaat","Chembur, Chembur, Mumbai",1
